Symbol,Date From,Date To,Reason
HSHP,23-Jul-26,31/Sep/2026,Bought this stocks
TRGP,24-Jul-26,31/Sep/2026,Bought this stocks
SOBO,23-Jul-26,31/Sep/2026,Bought this stocks
FTI,23-Jul-26,31/Sep/2026,Bought this stocks
EC,24-Jul-26,31/Sep/2026,Bought this stocks
KNTK,24-Jul-26,31/Sep/2026,Bought this stocks
GNK,23-Jul-26,31/Sep/2026,Bought this stocks
ADM,23-Jul-26,31/Sep/2026,Bought this stocks
PBA,24-Jul-26,31/Sep/2026,Bought this stocks
WAB,23-Jul-26,31/Sep/2026,Bought this stocks
HR,24-Jul-26,31/Sep/2026,Bought this stocks
TRP,23-Jul-26,31/Sep/2026,Bought this stocks
HESM,23-Jul-26,31/Sep/2026,Bought this stocks
ADX,23-Jul-26,31/Sep/2026,Bought this stocks
FTS,23-Jul-26,31/Sep/2026,Bought this stocks
PM,23-Jul-26,31/Sep/2026,Bought this stocks
TDY,23-Jul-26,31/Sep/2026,Bought this stocks
INGM,27-Jul-26,10-Sep-26,Bought this stocks
TAK,27-Jul-26,10-Sep-26,Bought this stocks
EPRT,27-Jul-26,10-Sep-26,Bought this stocks
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
PKE,,,Added from scanner dashboard
URI,,,Added from scanner dashboard
DELL,,,Added from scanner dashboard
HPE,,,Added from scanner dashboard
DT,,,Added from scanner dashboard
ANET,,,Added from scanner dashboard
