Symbol,Company,Market,Sector,Priority,Enabled
A,"Agilent Technologies, Inc. Common Stock",NYSE,Unknown,Normal,Yes
AA,Alcoa Corporation Common Stock,NYSE,Unknown,Normal,Yes
AADX,"Applied Aerospace & Defense, Inc. Common Stock",NYSE,Unknown,Normal,Yes
AAMI,Acadian Asset Management Inc. Common Stock,NYSE,Unknown,Normal,Yes
AAP,Advance Auto Parts Inc.,NYSE,Unknown,Normal,Yes
AAT,"American Assets Trust, Inc. Common Stock",NYSE,Unknown,Normal,Yes
AAUC,Allied Gold Corporation Common Shares,NYSE,Unknown,Normal,Yes
ABBV,AbbVie Inc. Common Stock,NYSE,Unknown,Normal,Yes
ABCB,Ameris Bancorp Common Stock,NYSE,Unknown,Normal,Yes
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),NYSE,Unknown,Normal,Yes
ABG,Asbury Automotive Group Inc Common Stock,NYSE,Unknown,Normal,Yes
ABM,ABM Industries Incorporated Common Stock,NYSE,Unknown,Normal,Yes
ABR,Arbor Realty Trust Common Stock,NYSE,Unknown,Normal,Yes
ABT,Abbott Laboratories Common Stock,NYSE,Unknown,Normal,Yes
ABX,"Abacus Global Management, Inc. Class A Common Stock",NYSE,Unknown,Normal,Yes
ACA,"Arcosa, Inc. Common Stock",NYSE,Unknown,Normal,Yes
ACCO,Acco Brands Corporation Common Stock,NYSE,Unknown,Normal,Yes
ACEL,"Accel Entertainment, Inc.",NYSE,Unknown,Normal,Yes
ACH,"Accendra Health, Inc. Common Stock",NYSE,Unknown,Normal,Yes
ACHR,Archer Aviation Inc. Class A Common Stock,NYSE,Unknown,Normal,Yes
ACI,"Albertsons Companies, Inc. Class A Common Stock",NYSE,Unknown,Normal,Yes
ACM,AECOM Common Stock,NYSE,Unknown,Normal,Yes
ACN,Accenture plc Class A Ordinary Shares (Ireland),NYSE,Unknown,Normal,Yes
ACR,ACRES Commercial Realty Corp. Common Stock,NYSE,Unknown,Normal,Yes
ACRE,Ares Commercial Real Estate Corporation Common Stock,NYSE,Unknown,Normal,Yes
ACVA,ACV Auctions Inc. Class A Common Stock,NYSE,Unknown,Normal,Yes
AD,"Array Digital Infrastructure, Inc. Common Shares",NYSE,Unknown,Normal,Yes
ADC,Agree Realty Corporation Common Stock,NYSE,Unknown,Normal,Yes
ADCT,ADC Therapeutics SA Common Shares,NYSE,Unknown,Normal,Yes
ADM,Archer-Daniels-Midland Company Common Stock,NYSE,Unknown,Normal,Yes
ADNT,Adient plc Ordinary Shares,NYSE,Unknown,Normal,Yes
ADT,ADT Inc. Common Stock,NYSE,Unknown,Normal,Yes
AEE,Ameren Corporation Common Stock,NYSE,Unknown,Normal,Yes
AEG,Aegon Ltd. New York Registry Shares,NYSE,Unknown,Normal,Yes
AEM,Agnico Eagle Mines Limited Common Stock,NYSE,Unknown,Normal,Yes
AEO,"American Eagle Outfitters, Inc. Common Stock",NYSE,Unknown,Normal,Yes
AER,AerCap Holdings N.V. Ordinary Shares,NYSE,Unknown,Normal,Yes
AERO,"Grupo Aeromexico, S.A.B. de C.V. American Depositary Shares (each representing ten (10) Common Shares)",NYSE,Unknown,Normal,Yes
AES,The AES Corporation Common Stock,NYSE,Unknown,Normal,Yes
AESI,Atlas Energy Solutions Inc. Common Stock,NYSE,Unknown,Normal,Yes
AFG,"American Financial Group, Inc. Common Stock",NYSE,Unknown,Normal,Yes
AFL,AFLAC Incorporated Common Stock,NYSE,Unknown,Normal,Yes
AG,First Majestic Silver Corp. Ordinary Shares (Canada),NYSE,Unknown,Normal,Yes
AGBK,AGI Inc Class A Common Shares,NYSE,Unknown,Normal,Yes
AGCO,AGCO Corporation Common Stock,NYSE,Unknown,Normal,Yes
AGI,Alamos Gold Inc. Class A Common Shares,NYSE,Unknown,Normal,Yes
AGL,"agilon health, inc. Common Stock",NYSE,Unknown,Normal,Yes
AGM,Federal Agricultural Mortgage Corporation Common Stock,NYSE,Unknown,Normal,Yes
AGM-A,Federal Agricultural Mortgage Corporation Common Stock,NYSE,Unknown,Normal,Yes
AGO,Assured Guaranty Ltd. Common Stock,NYSE,Unknown,Normal,Yes
AGRO,Adecoagro S.A. Common Shares,NYSE,Unknown,Normal,Yes
AGX,"Argan, Inc. Common Stock",NYSE,Unknown,Normal,Yes
AHR,"American Healthcare REIT, Inc. Common Stock",NYSE,Unknown,Normal,Yes
AHRT,"AH Realty Trust, Inc. Common Stock",NYSE,Unknown,Normal,Yes
AHT,Ashford Hospitality Trust Inc Common Stock,NYSE,Unknown,Normal,Yes
AI,"C3.ai, Inc. Class A Common Stock",NYSE,Unknown,Normal,Yes
AIG,"American International Group, Inc. New Common Stock",NYSE,Unknown,Normal,Yes
AII,"American Integrity Insurance Group, Inc. Common Stock",NYSE,Unknown,Normal,Yes
AIN,Albany International Corporation Common Stock,NYSE,Unknown,Normal,Yes
AIR,AAR Corp. Common Stock,NYSE,Unknown,Normal,Yes
AIT,"Applied Industrial Technologies, Inc. Common Stock",NYSE,Unknown,Normal,Yes
AIV,Apartment Investment and Management Company Common Stock,NYSE,Unknown,Normal,Yes
AIZ,"Assurant, Inc. Common Stock",NYSE,Unknown,Normal,Yes
AJG,Arthur J. Gallagher & Co. Common Stock,NYSE,Unknown,Normal,Yes
AKA,a.k.a. Brands Holding Corp. Common Stock,NYSE,Unknown,Normal,Yes
AKO-A,Embotelladora Andina S.A. Common Stock,NYSE,Unknown,Normal,Yes
AKO-B,Embotelladora Andina S.A. Common Stock,NYSE,Unknown,Normal,Yes
AKR,Acadia Realty Trust Common Stock,NYSE,Unknown,Normal,Yes
ALB,Albemarle Corporation Common Stock,NYSE,Unknown,Normal,Yes
ALC,Alcon Inc. Ordinary Shares,NYSE,Unknown,Normal,Yes
ALG,"Alamo Group, Inc. Common Stock",NYSE,Unknown,Normal,Yes
ALH,Alliance Laundry Holdings Inc. Common Stock,NYSE,Unknown,Normal,Yes
ALIT,"Alight, Inc. Class A Common Stock",NYSE,Unknown,Normal,Yes
ALK,"Alaska Air Group, Inc. Common Stock",NYSE,Unknown,Normal,Yes
ALL,Allstate Corporation (The) Common Stock,NYSE,Unknown,Normal,Yes
ALLE,Allegion plc Ordinary Shares,NYSE,Unknown,Normal,Yes
ALLY,Ally Financial Inc. Common Stock,NYSE,Unknown,Normal,Yes
ALSN,"Allison Transmission Holdings, Inc. Common Stock",NYSE,Unknown,Normal,Yes
ALTG,Alta Equipment Group Inc. Class A Common Stock,NYSE,Unknown,Normal,Yes
ALV,"Autoliv, Inc. Common Stock",NYSE,Unknown,Normal,Yes
ALX,"Alexander's, Inc. Common Stock",NYSE,Unknown,Normal,Yes
AM,Antero Midstream Corporation Common Stock,NYSE,Unknown,Normal,Yes
AMBP,Ardagh Metal Packaging S.A. Ordinary Shares,NYSE,Unknown,Normal,Yes
AMBQ,"Ambiq Micro, Inc. Common Stock",NYSE,Unknown,Normal,Yes
AMC,"AMC Entertainment Holdings, Inc. Class A Common Stock",NYSE,Unknown,Normal,Yes
AMCR,Amcor plc Ordinary Shares,NYSE,Unknown,Normal,Yes
AME,"AMETEK, Inc.",NYSE,Unknown,Normal,Yes
AMG,"Affiliated Managers Group, Inc. Common Stock",NYSE,Unknown,Normal,Yes
AMH,American Homes 4 Rent Common Shares of Beneficial Interest,NYSE,Unknown,Normal,Yes
AMN,AMN Healthcare Services Inc,NYSE,Unknown,Normal,Yes
AMP,"Ameriprise Financial, Inc. Common Stock",NYSE,Unknown,Normal,Yes
AMPX,"Amprius Technologies, Inc. Common Stock",NYSE,Unknown,Normal,Yes
AMPY,Amplify Energy Corp. Common Stock,NYSE,Unknown,Normal,Yes
AMR,"Alpha Metallurgical Resources, Inc. Common Stock",NYSE,Unknown,Normal,Yes
AMRC,"Ameresco, Inc. Class A Common Stock",NYSE,Unknown,Normal,Yes
AMRZ,Amrize Ltd Ordinary Shares,NYSE,Unknown,Normal,Yes
AMT,American Tower Corporation (REIT) Common Stock,NYSE,Unknown,Normal,Yes
AMTB,Amerant Bancorp Inc. Class A Common Stock,NYSE,Unknown,Normal,Yes
AMTD,"AMTD IDEA Group American Depositary Shares, each representing six (6) Class A Ordinary Shares",NYSE,Unknown,Normal,Yes
AMTM,"Amentum Holdings, Inc. Common Stock",NYSE,Unknown,Normal,Yes
AMWL,American Well Corporation Class A Common Stock,NYSE,Unknown,Normal,Yes
AN,"AutoNation, Inc. Common Stock",NYSE,Unknown,Normal,Yes
ANDG,Andersen Group Inc. Class A Common Stock,NYSE,Unknown,Normal,Yes
ANET,"Arista Networks, Inc. Common Stock",NYSE,Unknown,Normal,Yes
ANF,Abercrombie & Fitch Company Common Stock,NYSE,Unknown,Normal,Yes
ANGX,"Angel Studios, Inc. Class A Common Stock",NYSE,Unknown,Normal,Yes
